"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"228",229,6,"LOYANG WEST","PRSZ06","N","PASIR RIS","PR","EAST REGION","ER","05FD555397CBEE7A","2014/12/05",43294.8337,39888.7716,6203.00206517,2114789.48841
"229",230,8,"TAGORE","AMSZ08","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","DECC20CBAF2CD0C4","2014/12/05",27445.7713,40971.4244,8162.60017367,3334192.44169
"230",231,7,"LORONG AH SOO","HGSZ07","N","HOUGANG","HG","NORTH-EAST REGION","NER","6EDE1DB873D24BDD","2014/12/05",33930.3169,37657.026,5438.2110219,1515533.89128
"231",232,8,"FLORA DRIVE","PRSZ08","N","PASIR RIS","PR","EAST REGION","ER","FA9C76B49B6D0C95","2014/12/05",42801.7349,37930.5489,3956.61577684,944998.44886
"232",233,5,"HILLVIEW","BKSZ05","N","BUKIT BATOK","BK","WEST REGION","WR","3111003F85F45513","2014/12/05",20276.6529,37526.4582,6673.93400425,1990788.39736
"233",234,1,"CHANGI BAY","CBSZ01","N","CHANGI BAY","CB","EAST REGION","ER","ACFD43D8AE3F7B3F","2014/12/05",49502.4866,34316.5442,18731.5599659,1829821.68985
"234",235,2,"PAYA LEBAR EAST","PLSZ02","N","PAYA LEBAR","PL","EAST REGION","ER","389E16D1B4BCDE92","2014/12/05",38065.4483,37522.396,7470.11195193,2259239.73967
"235",236,1,"UPPER THOMSON","BSSZ01","N","BISHAN","BS","CENTRAL REGION","CR","0ABCF49C51112DC2","2014/12/05",27884.6872,37749.3937,10082.075301,3860324.99443
"236",237,2,"HONG KAH NORTH","BKSZ02","N","BUKIT BATOK","BK","WEST REGION","WR","7688003183213EBF","2014/12/05",18505.4653,38307.4684,3842.99403042,859179.180076
"237",238,4,"TOWNSVILLE","AMSZ04","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","377A4E677018DDF9","2014/12/05",29686.468,38599.4995,3313.3174126,546403.863476
"238",239,6,"KOVAN","HGSZ06","N","HOUGANG","HG","NORTH-EAST REGION","NER","19C0ECAF2E3AE59A","2014/12/05",33270.7913,38331.4768,5644.28774956,1948613.20544
"239",240,3,"CHONG BOON","AMSZ03","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","94B98B182E1B853F","2014/12/05",30485.5109,38478.993,4710.53872999,1078622.32407
"240",241,5,"SHANGRI-LA","AMSZ05","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","B208B7127D3E0A31","2014/12/05",28564.7156,38888.9209,4019.22952597,687930.096966
"241",242,4,"SERANGOON GARDEN","SGSZ04","N","SERANGOON","SG","NORTH-EAST REGION","NER","9E333AF1E3047F58","2014/12/05",31710.8227,38310.2243,6972.41909361,3023148.98135
